Rank,Word,Count
1,the,64019
2,and,51696
3,of,34668
4,to,13580
5,that,12912
6,in,12667
7,he,10419
8,shall,9838
9,unto,8997
10,for,8970
11,i,8854
12,his,8473
13,a,8177
14,lord,7830
15,they,7376
16,be,7013
17,is,6989
18,him,6659
19,not,6596
20,them,6430
21,it,6129
22,with,6012
23,all,5620
24,thou,5474
25,thy,4600
26,was,4522
27,god,4442
28,which,4413
29,my,4368
30,me,4096
31,said,3999
32,but,3992
33,ye,3983
34,their,3932
35,have,3904
36,will,3836
37,thee,3826
38,from,3642
39,as,3520
40,are,2950
41,when,2834
42,this,2785
43,out,2775
44,were,2772
45,upon,2748
46,by,2625
47,you,2614
48,man,2613
49,israel,2565
50,up,2380
51,son,2370
52,there,2299
53,hath,2264
54,king,2257
55,then,2169
56,people,2139
57,came,2093
58,had,2026
59,house,2024
60,into,2015
61,on,2011
62,her,1994
63,come,1971
64,one,1967
65,we,1844
66,children,1802
67,before,1796
68,your,1778
69,also,1769
70,day,1734
71,land,1718
72,an,1699
73,so,1689
74,against,1667
75,men,1653
76,shalt,1616
77,if,1595
78,at,1570
79,let,1511
80,go,1492
81,hand,1466
82,us,1448
83,saying,1445
84,made,1405
85,went,1400
86,no,1394
87,even,1393
88,do,1368
89,now,1356
90,behold,1326
91,saith,1262
92,therefore,1237
93,every,1236
94,these,1225
95,because,1209
96,after,1179
97,our,1165
98,things,1162
99,down,1125
100,or,1122
101,sons,1116
102,hast,1070
103,o,1065
104,make,1056
105,say,1056
106,may,1027
107,david,1011
108,over,1008
109,did,1006
110,earth,987
111,what,985
112,jesus,983
113,she,982
114,father,979
115,who,968
116,great,962
117,thine,938
118,name,928
119,among,916
120,away,915
121,any,912
122,put,911
123,thereof,906
124,forth,888
125,give,880
126,neither,879
127,days,877
128,take,874
129,am,874
130,city,868
131,brought,863
132,moses,852
133,two,835
134,pass,830
135,heart,830
136,judah,812
137,jerusalem,811
138,according,797
139,should,783
140,whom,763
141,know,763
142,nor,755
143,took,750
144,thus,737
145,bring,725
146,offering,724
147,good,720
148,place,716
149,word,697
150,fathers,696
151,set,695
152,more,686
153,sent,685
154,yet,683
155,again,672
156,like,669
157,way,664
158,eat,655
159,mine,649
160,heard,641
161,called,634
162,about,632
163,kings,624
164,time,623
165,evil,613
166,egypt,611
167,holy,611
168,see,597
169,own,596
170,hundred,590
171,spake,587
172,heaven,582
173,done,565
174,brethren,563
175,many,556
176,christ,555
177,hear,550
178,fire,549
179,saw,548
180,words,548
181,how,543
182,thing,542
183,years,541
184,himself,527
185,law,523
186,thousand,520
187,speak,513
188,off,507
189,spirit,505
190,voice,505
191,eyes,503
192,cast,501
193,given,498
194,priest,497
195,art,494
196,answered,492
197,servant,489
198,servants,489
199,three,485
200,together,484
201,than,482
202,ever,476
203,might,475
204,gave,465
205,those,465
206,other,464
207,seven,463
208,through,463
209,hands,462
210,soul,458
211,would,451
212,life,450
213,another,448
214,cities,448
215,sin,447
216,blood,447
217,priests,447
218,first,444
219,commanded,443
220,side,442
221,peace,429
222,without,426
223,sword,424
224,mouth,423
225,flesh,420
226,work,419
227,gold,417
228,face,416
229,high,416
230,themselves,409
231,found,402
232,glory,402
233,where,401
234,sea,400
235,fear,400
236,water,396
237,wife,396
238,under,392
239,saul,389
240,old,380
241,altar,378
242,death,372
243,drink,369
244,brother,367
245,year,367
246,until,366
247,burnt,366
248,midst,364
249,head,364
250,dead,364
251,congregation,364
252,keep,362
253,both,361
254,bread,361
255,right,359
256,none,358
257,jacob,358
258,woman,357
259,wherefore,348
260,left,348
261,toward,346
262,five,345
263,wicked,344
264,kingdom,342
265,yea,340
266,stood,339
267,taken,338
268,dwell,338
269,nations,336
270,sight,333
271,same,332
272,been,331
273,four,328
274,cause,328
275,tabernacle,328
276,daughter,324
277,die,321
278,cut,320
279,silver,320
280,round,320
281,aaron,319
282,whose,314
283,pray,313
284,love,310
285,night,307
286,end,307
287,righteousness,306
288,wilderness,304
289,blessed,302
290,young,300
291,hosts,299
292,deliver,296
293,judgment,294
294,twenty,293
295,covenant,292
296,field,291
297,being,291
298,meat,290
299,delivered,290
300,waters,287
301,turned,287
302,spoken,287
303,much,287
304,world,287
305,babylon,286
306,surely,284
307,mighty,284
308,turn,283
309,chief,283
310,told,282
311,why,282
312,cometh,282
313,solomon,280
314,seed,279
315,laid,279
316,iniquity,278
317,seen,277
318,written,277
319,princes,276
320,mercy,276
321,rest,275
322,gate,275
323,stand,274
324,light,272
325,power,272
326,gods,270
327,enemies,269
328,gathered,267
329,offerings,265
330,levites,265
331,return,263
332,mount,263
333,destroy,261
334,full,260
335,very,257
336,jews,257
337,well,256
338,feet,256
339,daughters,255
340,strong,255
341,philistines,254
342,only,253
343,fall,252
344,whole,250
345,month,250
346,such,249
347,ten,248
348,wise,247
349,live,247
350,faith,247
351,praise,246
352,mother,245
353,wilt,245
354,prophet,244
355,seek,244
356,disciples,244
357,fell,243
358,multitude,243
359,strength,242
360,little,242
361,concerning,241
362,lay,241
363,tribe,241
364,prophets,241
365,lest,240
366,inheritance,239
367,righteous,238
368,works,238
369,offer,236
370,can,235
371,truth,235
372,send,234
373,anger,234
374,wisdom,234
375,save,233
376,though,233
377,between,232
378,some,232
379,wine,231
380,abraham,231
381,ark,230
382,therein,229
383,smote,229
384,shew,228
385,joseph,228
386,morning,227
387,dwelt,226
388,begat,225
389,nothing,225
390,pharaoh,225
391,war,225
392,above,223
393,known,222
394,sacrifice,218
395,tell,217
396,joshua,217
397,departed,216
398,bear,215
399,thyself,215
400,places,215
401,book,214
402,while,214
403,part,214
404,cubits,213
405,gone,213
406,walk,212
407,long,212
408,near,211
409,serve,209
410,fruit,208
411,doth,207
412,ways,205
413,poor,205
414,temple,204
415,six,202
416,inhabitants,202
417,oil,202
418,tree,201
419,died,201
420,child,201
421,angel,201
422,cried,199
423,wrath,198
424,jordan,197
425,slew,196
426,manner,196
427,certain,196
428,call,195
429,unclean,194
430,rejoice,194
431,afraid,193
